/home/shannonfaz/pythonvenv/lib/python3.12/site-packages/torch/cuda/__init__.py:188: UserWarning: CUDA initialization: The NVIDIA driver on your system is too old (found version 12090). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver. (Triggered internally at /__w/pytorch/pytorch/c10/cuda/CUDAFunctions.cpp:119.)
  return torch._C._cuda_getDeviceCount() > 0
LSTM 配置: {'seed': 123, 'hidden': 16, 'epochs': 100, 'step': 30, 'stages': [1.0, 0.9, 0.8, 0.7, 0.6, 0.5]}
加载数据：有效样本 695，跳过 0。
Epoch 001 | Loss 1.6066 | Val 0.7050 | Full 0.7137
Epoch 002 | Loss 0.7947 | Val 0.8633 | Full 0.9108
Epoch 003 | Loss 0.2767 | Val 0.8849 | Full 0.9353
Epoch 004 | Loss 0.1708 | Val 0.9424 | Full 0.9698
Epoch 005 | Loss 0.1896 | Val 0.9640 | Full 0.9871
Epoch 006 | Loss 0.0951 | Val 0.9784 | Full 0.9856
Epoch 007 | Loss 0.0719 | Val 0.9640 | Full 0.9827
Epoch 008 | Loss 0.0709 | Val 0.9784 | Full 0.9856
Epoch 009 | Loss 0.0750 | Val 0.9928 | Full 0.9957
Epoch 010 | Loss 0.1304 | Val 0.9784 | Full 0.9885
Epoch 011 | Loss 0.0401 | Val 0.9856 | Full 0.9928
Epoch 012 | Loss 0.0500 | Val 0.9784 | Full 0.9914
Epoch 013 | Loss 0.0205 | Val 0.9928 | Full 0.9942
Epoch 014 | Loss 0.0762 | Val 0.9856 | Full 0.9957
Epoch 015 | Loss 0.0560 | Val 1.0000 | Full 0.9957
Epoch 016 | Loss 0.0456 | Val 0.9856 | Full 0.9957
Epoch 017 | Loss 0.0523 | Val 0.9856 | Full 0.9971
Epoch 018 | Loss 0.0181 | Val 0.9856 | Full 0.9957
Epoch 019 | Loss 0.0196 | Val 0.9784 | Full 0.9899
Epoch 020 | Loss 0.0493 | Val 0.9856 | Full 0.9957
Epoch 021 | Loss 0.0237 | Val 0.9712 | Full 0.9842
Epoch 022 | Loss 0.0386 | Val 0.9640 | Full 0.9813
Epoch 023 | Loss 0.0703 | Val 0.9784 | Full 0.9885
Epoch 024 | Loss 0.0750 | Val 0.9496 | Full 0.9842
Epoch 025 | Loss 0.0425 | Val 0.9784 | Full 0.9914
Epoch 026 | Loss 0.0285 | Val 0.9712 | Full 0.9914
Epoch 027 | Loss 0.0405 | Val 0.9712 | Full 0.9942
Epoch 028 | Loss 0.0547 | Val 0.9784 | Full 0.9899
Epoch 029 | Loss 0.0486 | Val 0.9856 | Full 0.9914
Epoch 030 | Loss 0.0297 | Val 0.9928 | Full 0.9942
Epoch 031 | Loss 0.0262 | Val 0.9712 | Full 0.9928
Epoch 032 | Loss 0.0293 | Val 0.9856 | Full 0.9899
Epoch 033 | Loss 0.0514 | Val 0.9712 | Full 0.9899
Epoch 034 | Loss 0.0126 | Val 0.9856 | Full 0.9957
Epoch 035 | Loss 0.0092 | Val 0.9712 | Full 0.9942
Epoch 036 | Loss 0.0046 | Val 0.9856 | Full 0.9971
Epoch 037 | Loss 0.0122 | Val 1.0000 | Full 1.0000
Epoch 038 | Loss 0.0053 | Val 0.9856 | Full 0.9971
Epoch 039 | Loss 0.0018 | Val 0.9856 | Full 0.9971
Epoch 040 | Loss 0.0007 | Val 0.9928 | Full 0.9986
Epoch 041 | Loss 0.0011 | Val 0.9928 | Full 0.9986
Epoch 042 | Loss 0.0008 | Val 0.9856 | Full 0.9971
Epoch 043 | Loss 0.0006 | Val 0.9856 | Full 0.9971
Epoch 044 | Loss 0.0022 | Val 0.9928 | Full 0.9986
Epoch 045 | Loss 0.0059 | Val 0.9856 | Full 0.9971
Epoch 046 | Loss 0.0134 | Val 0.9353 | Full 0.9741
Epoch 047 | Loss 0.0068 | Val 0.9856 | Full 0.9957
Epoch 048 | Loss 0.0046 | Val 0.9856 | Full 0.9971
Epoch 049 | Loss 0.0156 | Val 0.9856 | Full 0.9971
Epoch 050 | Loss 0.0022 | Val 0.9856 | Full 0.9971
Epoch 051 | Loss 0.0019 | Val 0.9856 | Full 0.9971
Epoch 052 | Loss 0.0103 | Val 0.9928 | Full 0.9986
Epoch 053 | Loss 0.0023 | Val 0.9856 | Full 0.9971
Epoch 054 | Loss 0.0009 | Val 0.9856 | Full 0.9971
Epoch 055 | Loss 0.0044 | Val 0.9712 | Full 0.9942
Epoch 056 | Loss 0.0036 | Val 0.9856 | Full 0.9971
Epoch 057 | Loss 0.0006 | Val 0.9856 | Full 0.9971
Epoch 058 | Loss 0.0083 | Val 0.9856 | Full 0.9971
Epoch 059 | Loss 0.0337 | Val 0.9712 | Full 0.9928
Epoch 060 | Loss 0.0087 | Val 0.9856 | Full 0.9957
Epoch 061 | Loss 0.0098 | Val 0.9784 | Full 0.9957
Epoch 062 | Loss 0.0076 | Val 0.9784 | Full 0.9942
Epoch 063 | Loss 0.0057 | Val 0.9784 | Full 0.9957
Epoch 064 | Loss 0.0010 | Val 0.9856 | Full 0.9971
Epoch 065 | Loss 0.0007 | Val 0.9856 | Full 0.9971
Epoch 066 | Loss 0.0022 | Val 0.9784 | Full 0.9957
Epoch 067 | Loss 0.0019 | Val 0.9856 | Full 0.9971
Epoch 068 | Loss 0.0014 | Val 0.9856 | Full 0.9971
Epoch 069 | Loss 0.0005 | Val 0.9856 | Full 0.9971
Epoch 070 | Loss 0.0002 | Val 0.9856 | Full 0.9971
Epoch 071 | Loss 0.0005 | Val 0.9856 | Full 0.9971
Epoch 072 | Loss 0.0005 | Val 0.9856 | Full 0.9971
Epoch 073 | Loss 0.0002 | Val 0.9856 | Full 0.9971
Epoch 074 | Loss 0.0008 | Val 0.9856 | Full 0.9971
Epoch 075 | Loss 0.0021 | Val 0.9856 | Full 0.9971
Epoch 076 | Loss 0.0005 | Val 0.9856 | Full 0.9971
Epoch 077 | Loss 0.0008 | Val 0.9856 | Full 0.9971
Epoch 078 | Loss 0.0014 | Val 0.9856 | Full 0.9971
Epoch 079 | Loss 0.0003 | Val 0.9856 | Full 0.9971
Epoch 080 | Loss 0.0004 | Val 0.9856 | Full 0.9971
Epoch 081 | Loss 0.0003 | Val 0.9856 | Full 0.9971
Epoch 082 | Loss 0.0029 | Val 0.9856 | Full 0.9971
Epoch 083 | Loss 0.0022 | Val 0.9856 | Full 0.9971
Epoch 084 | Loss 0.0011 | Val 0.9784 | Full 0.9957
Epoch 085 | Loss 0.0011 | Val 0.9784 | Full 0.9957
Epoch 086 | Loss 0.0004 | Val 0.9784 | Full 0.9957
Epoch 087 | Loss 0.0002 | Val 0.9784 | Full 0.9957
Epoch 088 | Loss 0.0002 | Val 0.9784 | Full 0.9957
Epoch 089 | Loss 0.0002 | Val 0.9784 | Full 0.9957
Epoch 090 | Loss 0.0001 | Val 0.9784 | Full 0.9957
Epoch 091 | Loss 0.0001 | Val 0.9784 | Full 0.9957
Epoch 092 | Loss 0.0005 | Val 0.9856 | Full 0.9971
Epoch 093 | Loss 0.0006 | Val 0.9856 | Full 0.9971
Epoch 094 | Loss 0.0002 | Val 0.9856 | Full 0.9971
Epoch 095 | Loss 0.0004 | Val 0.9784 | Full 0.9957
Epoch 096 | Loss 0.0001 | Val 0.9784 | Full 0.9957
Epoch 097 | Loss 0.0010 | Val 0.9784 | Full 0.9957
Epoch 098 | Loss 0.0011 | Val 0.9784 | Full 0.9957
Epoch 099 | Loss 0.0008 | Val 0.9856 | Full 0.9971
Epoch 100 | Loss 0.0010 | Val 0.9856 | Full 0.9971
  -> 本阶段最佳准确率 1.0000 (最小margin 0.3687)
Epoch 001 | Loss 0.0383 | Val 0.9353 | Full 0.9827
Epoch 002 | Loss 0.1092 | Val 0.9712 | Full 0.9899
Epoch 003 | Loss 0.0363 | Val 0.9568 | Full 0.9770
Epoch 004 | Loss 0.0317 | Val 0.9856 | Full 0.9971
Epoch 005 | Loss 0.1394 | Val 0.9640 | Full 0.9856
Epoch 006 | Loss 0.0371 | Val 0.9712 | Full 0.9856
Epoch 007 | Loss 0.0453 | Val 0.9712 | Full 0.9928
Epoch 008 | Loss 0.0363 | Val 0.9712 | Full 0.9899
Epoch 009 | Loss 0.0389 | Val 0.9712 | Full 0.9885
Epoch 010 | Loss 0.0904 | Val 0.9712 | Full 0.9813
Epoch 011 | Loss 0.0642 | Val 0.9784 | Full 0.9871
Epoch 012 | Loss 0.0069 | Val 0.9928 | Full 0.9971
Epoch 013 | Loss 0.0304 | Val 0.9856 | Full 0.9957
Epoch 014 | Loss 0.0221 | Val 0.9784 | Full 0.9942
Epoch 015 | Loss 0.0103 | Val 0.9856 | Full 0.9971
Epoch 016 | Loss 0.0091 | Val 1.0000 | Full 0.9971
Epoch 017 | Loss 0.0035 | Val 0.9856 | Full 0.9971
Epoch 018 | Loss 0.0088 | Val 0.9928 | Full 0.9971
Epoch 019 | Loss 0.0020 | Val 0.9928 | Full 0.9986
Epoch 020 | Loss 0.0331 | Val 0.9856 | Full 0.9957
Epoch 021 | Loss 0.0205 | Val 0.9928 | Full 0.9986
Epoch 022 | Loss 0.0279 | Val 0.9784 | Full 0.9957
Epoch 023 | Loss 0.0372 | Val 0.9784 | Full 0.9957
Epoch 024 | Loss 0.0048 | Val 0.9856 | Full 0.9971
Epoch 025 | Loss 0.0009 | Val 0.9928 | Full 0.9986
Epoch 026 | Loss 0.0099 | Val 0.9712 | Full 0.9914
Epoch 027 | Loss 0.0183 | Val 0.9856 | Full 0.9899
Epoch 028 | Loss 0.0338 | Val 0.9712 | Full 0.9942
Epoch 029 | Loss 0.0154 | Val 0.9784 | Full 0.9942
Epoch 030 | Loss 0.0188 | Val 0.9856 | Full 0.9957
Epoch 031 | Loss 0.0231 | Val 0.9712 | Full 0.9914
Epoch 032 | Loss 0.0234 | Val 0.9856 | Full 0.9971
Epoch 033 | Loss 0.0056 | Val 0.9784 | Full 0.9957
Epoch 034 | Loss 0.0004 | Val 0.9784 | Full 0.9957
Epoch 035 | Loss 0.0064 | Val 0.9784 | Full 0.9957
Epoch 036 | Loss 0.0021 | Val 0.9784 | Full 0.9957
Epoch 037 | Loss 0.0007 | Val 0.9856 | Full 0.9971
Epoch 038 | Loss 0.0008 | Val 0.9856 | Full 0.9971
Epoch 039 | Loss 0.0009 | Val 0.9856 | Full 0.9971
Epoch 040 | Loss 0.0008 | Val 0.9856 | Full 0.9971
Epoch 041 | Loss 0.0007 | Val 0.9856 | Full 0.9971
Epoch 042 | Loss 0.0052 | Val 0.9784 | Full 0.9957
Epoch 043 | Loss 0.0006 | Val 0.9712 | Full 0.9942
Epoch 044 | Loss 0.0010 | Val 0.9784 | Full 0.9957
Epoch 045 | Loss 0.0006 | Val 0.9856 | Full 0.9971
Epoch 046 | Loss 0.0002 | Val 0.9856 | Full 0.9971
Epoch 047 | Loss 0.0001 | Val 0.9856 | Full 0.9971
Epoch 048 | Loss 0.0002 | Val 0.9856 | Full 0.9971
Epoch 049 | Loss 0.0003 | Val 0.9856 | Full 0.9971
Epoch 050 | Loss 0.0007 | Val 0.9856 | Full 0.9971
Epoch 051 | Loss 0.0002 | Val 0.9856 | Full 0.9971
