/home/shannonfaz/pythonvenv/lib/python3.12/site-packages/torch/cuda/__init__.py:188: UserWarning: CUDA initialization: The NVIDIA driver on your system is too old (found version 12090). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver. (Triggered internally at /__w/pytorch/pytorch/c10/cuda/CUDAFunctions.cpp:119.)
  return torch._C._cuda_getDeviceCount() > 0
LSTM 配置: {'seed': 666, 'hidden': 8, 'epochs': 100, 'step': 30, 'stages': [1.0, 0.9, 0.8, 0.7, 0.6, 0.5]}
加载数据：有效样本 695，跳过 0。
Epoch 001 | Loss 1.6628 | Val 0.6475 | Full 0.7050
Epoch 002 | Loss 0.8879 | Val 0.6691 | Full 0.7151
Epoch 003 | Loss 0.7931 | Val 0.8345 | Full 0.8460
Epoch 004 | Loss 0.5348 | Val 0.9065 | Full 0.9194
Epoch 005 | Loss 0.3752 | Val 0.9137 | Full 0.9381
Epoch 006 | Loss 0.2520 | Val 0.9137 | Full 0.9540
Epoch 007 | Loss 0.2090 | Val 0.8993 | Full 0.9424
Epoch 008 | Loss 0.2490 | Val 0.9353 | Full 0.9453
Epoch 009 | Loss 0.1710 | Val 0.9209 | Full 0.9612
Epoch 010 | Loss 0.1472 | Val 0.8993 | Full 0.9496
Epoch 011 | Loss 0.1577 | Val 0.9065 | Full 0.9612
Epoch 012 | Loss 0.2115 | Val 0.8705 | Full 0.9252
Epoch 013 | Loss 0.2036 | Val 0.8849 | Full 0.9396
Epoch 014 | Loss 0.2886 | Val 0.9496 | Full 0.9655
Epoch 015 | Loss 0.1892 | Val 0.9353 | Full 0.9712
Epoch 016 | Loss 0.1122 | Val 0.9281 | Full 0.9669
Epoch 017 | Loss 0.1320 | Val 0.9424 | Full 0.9827
Epoch 018 | Loss 0.1302 | Val 0.9353 | Full 0.9755
Epoch 019 | Loss 0.1278 | Val 0.9640 | Full 0.9871
Epoch 020 | Loss 0.0772 | Val 0.9209 | Full 0.9669
Epoch 021 | Loss 0.0963 | Val 0.9784 | Full 0.9928
Epoch 022 | Loss 0.0610 | Val 0.9568 | Full 0.9871
Epoch 023 | Loss 0.0516 | Val 0.9496 | Full 0.9842
Epoch 024 | Loss 0.0932 | Val 0.9281 | Full 0.9597
Epoch 025 | Loss 0.0994 | Val 0.9640 | Full 0.9914
Epoch 026 | Loss 0.0379 | Val 0.9640 | Full 0.9885
Epoch 027 | Loss 0.0624 | Val 0.9784 | Full 0.9914
Epoch 028 | Loss 0.0661 | Val 0.9712 | Full 0.9842
Epoch 029 | Loss 0.1068 | Val 0.9640 | Full 0.9885
Epoch 030 | Loss 0.0722 | Val 0.9137 | Full 0.9698
Epoch 031 | Loss 0.0975 | Val 0.9281 | Full 0.9755
Epoch 032 | Loss 0.0616 | Val 0.9281 | Full 0.9813
Epoch 033 | Loss 0.0504 | Val 0.9209 | Full 0.9799
Epoch 034 | Loss 0.0189 | Val 0.9640 | Full 0.9928
Epoch 035 | Loss 0.0209 | Val 0.9712 | Full 0.9942
Epoch 036 | Loss 0.0230 | Val 0.9424 | Full 0.9871
Epoch 037 | Loss 0.0494 | Val 0.9640 | Full 0.9928
Epoch 038 | Loss 0.0165 | Val 0.9712 | Full 0.9914
Epoch 039 | Loss 0.0172 | Val 0.9568 | Full 0.9885
Epoch 040 | Loss 0.0214 | Val 0.9568 | Full 0.9899
Epoch 041 | Loss 0.0243 | Val 0.9496 | Full 0.9871
Epoch 042 | Loss 0.0794 | Val 0.9568 | Full 0.9856
Epoch 043 | Loss 0.0510 | Val 0.9784 | Full 0.9928
Epoch 044 | Loss 0.0490 | Val 0.9640 | Full 0.9899
Epoch 045 | Loss 0.0402 | Val 0.9568 | Full 0.9899
Epoch 046 | Loss 0.0254 | Val 0.9640 | Full 0.9914
Epoch 047 | Loss 0.0344 | Val 0.9784 | Full 0.9942
Epoch 048 | Loss 0.0516 | Val 0.9568 | Full 0.9885
Epoch 049 | Loss 0.0220 | Val 0.9784 | Full 0.9914
Epoch 050 | Loss 0.0396 | Val 0.9640 | Full 0.9914
Epoch 051 | Loss 0.0819 | Val 0.9712 | Full 0.9942
Epoch 052 | Loss 0.0421 | Val 0.9640 | Full 0.9899
Epoch 053 | Loss 0.0513 | Val 0.9712 | Full 0.9928
Epoch 054 | Loss 0.0198 | Val 0.9568 | Full 0.9885
Epoch 055 | Loss 0.0316 | Val 0.9928 | Full 0.9971
Epoch 056 | Loss 0.0453 | Val 0.9712 | Full 0.9914
Epoch 057 | Loss 0.0415 | Val 0.9784 | Full 0.9928
Epoch 058 | Loss 0.0143 | Val 0.9640 | Full 0.9885
Epoch 059 | Loss 0.0184 | Val 0.9928 | Full 0.9971
Epoch 060 | Loss 0.0434 | Val 0.9640 | Full 0.9928
Epoch 061 | Loss 0.0187 | Val 0.9568 | Full 0.9914
Epoch 062 | Loss 0.0082 | Val 0.9640 | Full 0.9928
Epoch 063 | Loss 0.0181 | Val 0.9640 | Full 0.9914
Epoch 064 | Loss 0.0121 | Val 0.9856 | Full 0.9971
Epoch 065 | Loss 0.0166 | Val 0.9856 | Full 0.9971
Epoch 066 | Loss 0.0158 | Val 0.9784 | Full 0.9957
Epoch 067 | Loss 0.0180 | Val 0.9640 | Full 0.9928
Epoch 068 | Loss 0.0216 | Val 0.9784 | Full 0.9957
Epoch 069 | Loss 0.0437 | Val 0.9640 | Full 0.9928
Epoch 070 | Loss 0.0084 | Val 0.9784 | Full 0.9957
Epoch 071 | Loss 0.0105 | Val 0.9856 | Full 0.9957
Epoch 072 | Loss 0.0127 | Val 0.9784 | Full 0.9957
Epoch 073 | Loss 0.0368 | Val 0.9784 | Full 0.9942
Epoch 074 | Loss 0.0072 | Val 0.9784 | Full 0.9957
Epoch 075 | Loss 0.0105 | Val 0.9712 | Full 0.9928
Epoch 076 | Loss 0.0134 | Val 0.9712 | Full 0.9928
Epoch 077 | Loss 0.0132 | Val 0.9856 | Full 0.9971
Epoch 078 | Loss 0.0215 | Val 0.9784 | Full 0.9957
Epoch 079 | Loss 0.0234 | Val 0.9784 | Full 0.9957
Epoch 080 | Loss 0.0086 | Val 0.9856 | Full 0.9971
Epoch 081 | Loss 0.0092 | Val 0.9856 | Full 0.9971
Epoch 082 | Loss 0.0101 | Val 0.9856 | Full 0.9971
Epoch 083 | Loss 0.0075 | Val 0.9856 | Full 0.9971
Epoch 084 | Loss 0.0094 | Val 0.9928 | Full 0.9986
Epoch 085 | Loss 0.0072 | Val 0.9928 | Full 0.9986
